,id,lat,lon,cluster,cluster_size,geohash,time_ratio_weekday_True,time_ratio_weekday_False
24997,9863,54.9,38.0803,3,40,202320012230201010,0.0086573753923081,0.0268888427414446
24998,9863,54.8988,38.064,4,67,202320012230320230,0.0400367040800042,0.0858437940837385
24999,9863,54.9013,38.0732,5,20,202320012230310221,0.0035533804989627,6.80276980143073e-05
25000,9863,54.8891,38.0716,6,17,202320012230312120,0.0042076706207777,0.0
25001,9863,54.8971,38.0594,7,25,202320012230322012,0.0,0.0400110276478886
25002,9863,54.8999,38.0739,8,15,202320012230310223,0.0142667163146975,0.0
25006,9866,54.8792,38.0701,0,363,202320012230021012,0.9362853573409374,0.962559351094698
25025,9875,54.9007,38.0718,0,302,202320012230313113,0.99983677713429,0.9945883417995272
25037,9882,54.8873,38.0582,0,1747,202320012230011121,0.9897999731732672,0.9154487638461862
25038,9883,54.9084,38.0796,0,41,202320012230201112,0.1895282623805761,0.0
25039,9883,54.8873,38.0689,1,73,202320012230021112,0.2302003600523241,0.2912002518148374
25040,9883,54.8892,38.0822,2,119,202320012230200102,0.2693614467714013,0.0707048848143849
25041,9883,54.8571,38.1889,3,95,202320012301003223,0.0708577793319604,0.5390411363144538
25042,9883,54.8874,38.0719,4,27,202320012230021221,0.039920909369563,0.0990537270563239
25043,9883,54.9085,38.0749,5,18,202320012230310103,0.0472471539029412,0.0
25044,9883,54.8835,38.0743,6,16,202320012230022101,0.016612486131078,0.0
25045,9884,54.8933,38.0783,0,218,202320012230311033,0.4216488918177417,0.3454200299907475
25046,9884,54.8861,38.0852,1,233,202320012230130113,0.5073968475980418,0.6545799700092525
25047,9884,54.8979,38.0608,2,22,202320012230322003,0.0542609204368174,0.0
25063,9894,54.8914,38.0632,0,144,202320012230321231,0.1369727270679909,0.0172346979332273
25064,9894,54.8856,38.0529,1,15,202320012223300102,0.0003464769358965,0.0027821939586645
25065,9894,54.8801,38.157,2,769,202320012300023202,0.771077491299098,0.8341116852146264
25066,9894,54.8947,38.0643,3,19,202320012230321312,0.0060650787628694,0.0
25067,9894,54.8838,38.084,4,15,202320012230133212,0.0097845086697191,0.0
25068,9894,54.8951,38.0742,5,16,202320012230311302,0.0005578278667934,0.014010333863275
25069,9894,54.897,38.0568,6,22,202320012230322332,0.0102903649961281,0.0
25070,9894,54.8793,38.1043,7,15,202320012233211302,0.0,0.1143928855325914
25072,9896,54.8875,38.0881,0,233,202320012230130032,0.1636547375821085,0.0002542952618703
25073,9896,54.8745,38.1215,1,800,202320012233201002,0.668024341483776,0.6427688814231939
25074,9896,54.8729,38.1233,2,88,202320012233310320,0.1139465571153437,0.1485729021536301
25075,9896,54.8649,38.1342,3,38,202320012233331111,0.0097893187460181,0.0808408219109393
25076,9896,54.8981,38.0789,4,27,202320012230200333,0.0047350190762831,0.01009301475987
25077,9896,54.8776,38.1151,5,24,202320012233203103,0.0,0.0478433254657005
25078,9896,54.884,38.0771,6,16,202320012230022202,0.0083818478730493,0.0080407445478737
25079,9898,54.8935,38.0751,0,684,202320012230311310,0.7860967063770147,1.0
25080,9898,54.8841,38.0817,1,191,202320012230133201,0.1128241065171688,0.0
25081,9898,54.8879,38.0639,2,46,202320012230321212,0.0663329662628891,0.0
25082,9898,54.8836,38.0726,3,15,202320012230021230,0.0026389027930723,0.0
25083,9899,54.895,38.0647,0,208,202320012230321312,0.6210982026689388,0.2155254023351215
25084,9899,54.8924,38.0744,1,200,202320012230311232,0.3179698564207666,0.7310605141151054
25085,9900,54.8939,38.0698,0,179,202320012230312311,0.1012308290731273,0.0
25086,9900,54.8414,38.1497,1,515,202320021033333221,0.8818116988960509,0.8700090309515339
25087,9900,54.8431,38.1931,2,28,202320021032333003,9.261317329776988e-06,0.117457102980214
25088,9901,54.88,38.07,0,959,202320012230021021,0.9723441987582696,1.0
25089,9902,54.8506,38.1702,0,412,202320012300322021,0.5389723476158761,0.503197803462506
25090,9902,54.8479,38.1694,1,149,202320012300322311,0.2414465083006487,0.458477878434145
25091,9902,54.8478,38.1684,2,92,202320012300322202,0.1844347418535237,0.038324318103349
25092,9902,54.8909,38.0686,3,17,202320012230312231,0.0293149806359308,0.0
25093,9903,54.873,38.1266,0,20,202320012233310202,0.0732455123433438,0.0
25094,9903,54.8663,38.1364,1,530,202320012233320100,0.4914609442688567,0.5480476542816736
25095,9903,54.8659,38.1396,2,92,202320012233323222,0.166653446739966,0.0
25096,9903,54.8636,38.1333,3,104,202320012233302221,0.1181281804092889,0.0973597205181279
25097,9903,54.8633,38.1352,4,49,202320012233331102,0.0258978364064578,0.0326733415129859
25098,9903,54.8676,38.1402,5,24,202320012233323220,0.0135972030702771,0.0
25099,9903,54.8677,38.1354,6,21,202320012233320031,0.0253883607697658,0.0
